iteration,best_strategy_id,family_max_expectancy_pct,base_expectancy_pct,family_minus_base_pct
0,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.4844378215978458,1.010996882721562,0.4734409388762837
1,DSS_CW_001_BASE_MAX2,1.4395280497545677,1.4395280497545677,0.0
2,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.4580181309524292,1.1061636672783,0.3518544636741292
3,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.2018745066598868,0.008426475716904443,1.1934480309429825
4,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.3420197771315745,1.0745299241242874,0.2674898530072871
5,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.1576263500411397,0.6319929874378135,0.5256333626033262
6,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.6456408154576816,0.8721197245127156,0.773521090944966
7,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.3150252833488678,0.768428120514562,0.5465971628343058
8,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.267025554664659,1.0938907170640384,0.17313483760062054
9,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.5520670964728385,0.4342954404654731,1.1177716560073654
10,DSS_CW_001_BASE_MAX2,1.5551454515425693,1.5551454515425693,0.0
11,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.1367411803253689,1.1144900527712764,0.02225112755409242
12,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.623923040708314,0.9464713158047907,0.6774517249035233
13,DSS_CW_001_BASE_MAX2,1.608991483510291,1.608991483510291,0.0
14,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.7205019784688313,0.8268920488419459,0.8936099296268855
15,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.5092242665075266,0.6506598875121373,0.8585643789953893
16,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.2367874057165766,0.1915942139903718,1.045193191726205
17,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.2665643107733044,1.0427725476212926,0.22379176315201188
18,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.1425018814712267,-0.07827307250035825,1.2207749539715849
19,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.9494782560952142,0.5995778324900309,1.3499004236051833
20,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.1161679357430512,0.7522595977442641,0.3639083379987871
21,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.9226313336558678,1.0753536294094175,0.8472777042464503
22,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.235020486846418,0.9259330358320198,0.3090874510143983
23,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.4805052910013,0.46614096619939427,1.0143643248019056
24,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.4990360141792816,1.2387969265656165,0.2602390876136651
25,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.504139338881912,0.6900673012080482,0.8140720376738638
26,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.2523633306940858,0.9576104852661153,0.29475284542797053
27,DSS_CW_WINDOW_PLACEBO_PLUS_1,2.3928864551411646,0.8383861866755584,1.5545002684656062
28,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.4492083187485947,0.4575558863185764,0.9916524324300182
29,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.573631078313267,0.512126043696075,1.0615050346171921
30,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.4244811175369896,1.2702511838222785,0.15422993371471105
31,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.9399377176100787,0.13084786466886356,1.8090898529412152
32,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.453049533389634,0.8020995392435922,0.6509499941460418
33,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.6197300033002568,1.1618359077495328,0.457894095550724
34,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.039086124201617,0.5425432397743317,0.4965428844272852
35,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.3772773008832444,0.29257061359626946,1.084706687286975
36,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.7360903990696308,0.5238954574619463,1.2121949416076845
37,DSS_CW_001_BASE_MAX2,1.5994029139537513,1.5994029139537513,0.0
38,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.581766107653437,0.7926425561647907,0.7891235514886463
39,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.6354339391198414,1.056419732937297,0.5790142061825443
40,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.8843218867620664,0.8863118369675193,0.9980100497945471
41,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.5112420343014101,0.8776289002188044,0.6336131340826058
42,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.5333754775556967,1.0439029646972244,0.48947251285847226
43,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.3922922108168707,0.5268028628365011,0.8654893479803696
44,DSS_CW_001_BASE_MAX2,1.6062394015458874,1.6062394015458874,0.0
45,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.3253420557027171,0.601240781509927,0.7241012741927901
46,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.1530123378160753,0.9236351612052336,0.22937717661084167
47,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.7157846934710725,0.7469686352434913,0.9688160582275812
48,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.589549780080502,0.9720310727316919,0.6175187073488102
49,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.1424379107310985,0.6485650700584272,0.49387284067267123
50,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.5590217773148705,0.866773103196771,0.6922486741180994
51,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.174833913076442,0.8984693990694465,0.2763645140069956
52,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.6844092585516441,1.3422201348333025,0.34218912371834165
53,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.0365746388589778,0.5690602593929629,0.46751437946601493
54,VOL_HIGH_ONLY_EPISODE_LIKE,1.172867793411701,0.14327856341646464,1.0295892299952365
55,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.235451015190914,0.48712436312065105,0.7483266520702629
56,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.594984730071777,0.5061826020870817,1.0888021279846953
57,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.8795700823704304,0.7992844805734148,1.0802856017970157
58,DSS_CW_001_BASE_MAX2,1.8529332829040188,1.8529332829040188,0.0
59,DSS_CW_001_BASE_MAX2,1.0394404813389553,1.0394404813389553,0.0
60,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.021315368007805,0.5750823326790916,0.4462330353287135
61,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.6650280908157247,1.3581333563052498,0.3068947345104749
62,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.188737832521291,0.741073121475516,0.447664711045775
63,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.363176845808249,1.0044273695364596,0.3587494762717893
64,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.334237236007785,-0.03534616338655976,1.3695833993943447
65,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.6653602423075098,1.0094469889184305,0.6559132533890792
66,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.5056467387307724,0.5260849991054735,0.9795617396252989
67,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.0919207611403388,0.5895659180689528,0.502354843071386
68,DSS_CW_001_BASE_MAX2,1.6378828485409171,1.6378828485409171,0.0
69,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.0595142586631847,0.690021979887265,0.3694922787759197
70,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.4226285478211493,1.1079711348297518,0.3146574129913975
71,DSS_CW_WINDOW_PLACEBO_PLUS_1,2.0036446137372996,1.5881720498346918,0.4154725639026078
72,VOL_HIGH_ONLY_EPISODE_LIKE,1.285455350121555,1.0321920963866877,0.25326325373486736
73,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.3244936813960646,0.3652939862287564,0.9591996951673082
74,VOL_HIGH_ONLY_EPISODE_LIKE,1.0600302159287485,1.0331114343802617,0.026918781548486814
75,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.4005967430687272,0.8556271218121281,0.5449696212565991
76,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.4153292452343031,0.5874155832240142,0.8279136620102889
77,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.3660572081337239,1.2482494201399044,0.11780778799381952
78,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.6885880810597804,0.9447821811138415,0.7438058999459389
79,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.3003585305500098,0.6387239142600694,0.6616346162899405
80,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.460738173620186,0.32789563945857375,1.1328425341616124
81,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.6575628781663105,0.8003845870665813,0.8571782910997292
82,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.0283672921331577,1.0071327290397318,0.021234563093425862
83,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.8066321948769815,0.969013900050324,0.8376182948266575
84,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.0382241869990705,0.5105210501832104,0.5277031368158601
85,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.9849015783637431,0.9107311859313274,1.0741703924324157
86,DSS_CW_WINDOW_PLACEBO_PLUS_2,0.9214438794059681,0.5451553225426284,0.3762885568633396
87,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.2244979295925418,0.7661663415700419,0.45833158802249985
88,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.5391886135822803,0.6626682968872656,0.8765203166950147
89,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.8634980003960544,1.554687846624076,0.3088101537719783
90,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.3752271623268426,0.5458031060642236,0.8294240562626191
91,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.5650846621859056,0.804940800459743,0.7601438617261626
92,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.1017633494277108,1.0110481711032397,0.09071517832447107
93,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.0599073384281832,0.7679133336859743,0.29199400474220893
94,DSS_CW_WINDOW_PLACEBO_PLUS_5,1.6004929805548307,0.8240086575806637,0.776484322974167
95,DSS_CW_WINDOW_PLACEBO_PLUS_5,0.7598612466660801,0.3398736844298611,0.419987562236219
96,DSS_CW_WINDOW_PLACEBO_PLUS_2,1.7953143058419034,1.3735760456015298,0.42173826024037364
97,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.0954359612549156,0.831343279718407,0.26409268153650856
98,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.629682230551541,0.9753056434204078,0.6543765871311332
99,DSS_CW_WINDOW_PLACEBO_PLUS_1,1.2036438467515322,0.5477711400754169,0.6558727066761153
