date,closed_trades,equity_pct,drawdown_pct
2024-05-13,1,21.936222910216706,0.0
2024-05-16,1,29.490893336723566,0.0
2024-05-20,1,22.489212022241333,-7.001681314482234
2024-05-21,1,25.45748046987125,-4.033412866852316
2024-05-28,2,22.538748481398617,-6.952144855324949
2024-05-29,1,10.519632345735717,-18.97126099098785
2024-05-31,1,11.697302422921128,-17.79359091380244
2024-06-03,1,14.931264687072064,-14.559628649651502
2024-06-04,1,13.502316120845391,-15.988577215878175
2024-06-05,1,12.458289887597605,-17.03260344912596
2024-06-06,2,6.833657968772631,-22.657235367950936
2024-06-07,1,42.315816889312345,0.0
2024-06-10,1,58.71694856668839,0.0
2024-06-11,1,61.128541871090135,0.0
2024-06-12,2,57.71976957086584,-3.4087723002242925
2024-06-14,2,65.85290103546566,0.0
2024-06-17,1,60.36655742313086,-5.486343612334807
2024-06-18,1,70.27850932527659,0.0
2024-06-20,1,75.49933671472024,0.0
2024-06-21,1,75.76335012409454,0.0
2024-06-24,1,75.56335012409454,-0.20000000000000284
2024-06-25,1,74.1284357261153,-1.6349143979792444
2024-06-27,1,80.11238609087974,0.0
2024-07-03,1,82.36969930797251,0.0
2024-07-09,1,87.44008376086647,0.0
2024-07-11,2,90.30830503553695,0.0
2024-07-15,2,90.39351585897475,0.0
2024-07-16,3,120.79758319084101,0.0
2024-07-17,3,150.42612738016965,0.0
2024-07-18,1,146.28637311936902,-4.139754260800629
2024-07-19,1,139.3182384043431,-11.10788897582654
2024-07-22,1,134.02976690457163,-16.396360475598016
2024-07-23,3,119.21260739895284,-31.213519981216805
2024-07-25,1,106.59193650140072,-43.83419087876892
2024-07-26,2,98.42639237265081,-51.99973500751884
2024-07-30,2,78.19403122791441,-72.23209615225524
2024-07-31,3,63.56447484754292,-86.86165253262672
2024-08-06,1,40.434845217913285,-109.99128216225637
2024-08-07,1,35.23256553316111,-115.19356184700854
2024-08-14,1,26.885828991951023,-123.54029838821862
2024-09-06,1,-5.891604636367553,-156.3177320165372
2024-09-10,3,-35.11261443202449,-185.53874181219413
2024-09-17,1,-31.569703278905383,-181.99583065907504
2024-09-24,1,-33.319466312080735,-183.7455936922504
2024-09-30,1,-25.06175486929467,-175.48788224946432
2024-10-02,1,-23.56100032626631,-173.98712770643596
2024-10-04,4,3.677245640657702,-146.74888173951194
2024-10-08,1,-3.6403320235184644,-154.0664594036881
2024-10-09,2,-14.632361759059163,-165.0584891392288
2024-10-11,1,-9.8913174019564,-160.31744478212605
2024-10-14,1,-15.341799097524799,-165.76792647769446
2024-10-15,2,-18.224345785567994,-168.65047316573765
2024-10-21,3,4.257772892273763,-146.1683544878959
2024-10-22,1,14.308464987013863,-136.1176623931558
2024-10-23,5,11.547235162276163,-138.87889221789348
2024-10-24,1,12.808432261529328,-137.6176951186403
2024-10-28,3,20.187863485620465,-130.2382638945492
2024-10-29,2,34.57670292333629,-115.84942445683336
2024-10-30,1,33.68102050236146,-116.74510687780818
2024-11-11,1,63.134660065243494,-87.29146731492615
2024-11-12,1,46.912634383962114,-103.51349299620753
2024-11-13,2,42.29001685381901,-108.13611052635063
2024-11-14,2,54.33069178808398,-96.09543559208566
2024-11-18,1,63.031736044672755,-87.39439133549689
2024-11-19,3,48.025127529521484,-102.40099985064816
2024-11-21,7,50.38407913278407,-100.04204824738557
2024-11-22,3,67.01877833420079,-83.40734904596886
2024-11-25,1,67.21014306087673,-83.21598431929291
2024-11-26,1,27.190323241056916,-123.23580413911273
2024-12-10,2,43.36573186024119,-107.06039551992845
2024-12-11,1,43.790909467515995,-106.63521791265364
2024-12-12,1,49.36038789636338,-101.06573948380627
2024-12-18,1,47.40194985743753,-103.02417752273212
2024-12-19,2,21.863811301434676,-128.56231607873497
2024-12-20,1,33.211748885878464,-117.21437849429118
2024-12-27,2,64.24686839923808,-86.17925898093156
2025-01-02,1,61.51267692699352,-88.91345045317613
2025-01-22,1,55.203911096350375,-95.22221628381928
2025-01-23,2,24.495027687313282,-125.93109969285636
2025-01-24,1,21.428408402783546,-128.9977189773861
2025-01-29,1,46.031970477168045,-104.3941569030016
2025-01-31,1,50.85495143580229,-99.57117594436735
2025-02-04,2,55.733597068738035,-94.69253031143161
2025-02-05,1,38.79553335661093,-111.63059402355871
2025-02-06,1,40.87380837695268,-109.55231900321697
2025-02-07,1,77.9318728930817,-72.49425448708794
2025-02-11,2,92.06895209835483,-58.35717528181482
2025-02-24,1,103.0276236850707,-47.39850369509895
2025-02-26,1,104.6473443791037,-45.778783001065946
2025-02-28,1,80.51123485257773,-69.91489252759192
2025-03-05,3,43.18871841003444,-107.2374089701352
2025-05-19,3,135.937161826497,-14.488965553672642
2025-05-23,5,148.42242486403657,-2.0037025161330746
2025-05-27,2,173.20723084406706,0.0
2025-05-28,3,163.1821899358574,-10.025040908209661
2025-05-29,5,186.22784599899546,0.0
2025-06-03,3,177.82580564780432,-8.402040351191147
2025-06-04,1,183.83879276325246,-2.389053235743006
2025-06-05,1,203.31092391079343,0.0
2025-06-11,2,218.93976361167432,0.0
2025-06-12,1,222.96019592859713,0.0
2025-06-16,3,216.73580330152092,-6.224392627076213
2025-06-17,2,214.66364639370386,-8.296549534893273
2025-06-20,2,227.11977835973792,0.0
2025-06-23,1,219.9326877026013,-7.187090657136622
2025-06-25,2,224.66283635793397,-2.4569420018039523
2025-06-26,3,216.49395060617692,-10.625827753560998
2025-06-27,1,217.27319071585183,-9.846587643886096
2025-06-30,3,250.29410530967436,0.0
2025-07-01,1,241.75028979604753,-8.54381551362684
2025-07-07,2,245.6347833461943,-4.6593219634800676
2025-07-09,2,270.4247633659619,0.0
2025-07-10,2,276.0259694022605,0.0
2025-07-11,1,277.46730678827873,0.0
2025-07-14,2,274.56121725547905,-2.906089532799683
2025-07-15,1,275.70440060000556,-1.7629061882731776
2025-07-16,3,270.7321358731618,-6.735170915116953
2025-07-17,1,284.3358618523315,0.0
2025-07-18,2,299.6814679329576,0.0
2025-07-21,3,320.1777541811227,0.0
2025-07-24,3,310.08065429201423,-10.09709988910845
2025-07-25,1,300.69175642082047,-19.48599776030221
2025-07-29,2,314.17938611533936,-5.998368065783325
2025-07-30,1,319.668245706638,-0.5095084744846758
2025-08-01,2,320.77618269461783,0.0
2025-08-05,4,289.4575419623052,-31.318640732312645
2025-08-07,3,275.63493086592354,-45.141251828694294
2025-08-12,4,268.1804111755091,-52.59577151910872
2025-08-13,1,265.32608391017806,-55.450098784439774
2025-08-15,2,265.3599855851219,-55.416197109495954
2025-08-21,2,267.20563555947416,-53.57054713514367
2025-08-22,2,248.50290241391508,-72.27328028070275
2025-08-25,3,255.0472466435173,-65.72893605110053
2025-08-26,3,227.3896780486909,-93.38650464592692
2025-08-27,1,221.94442262064626,-98.83176007397157
2025-08-28,4,262.1040293973741,-58.67215329724371
2025-09-09,2,244.8189586485292,-75.95722404608864
2025-09-10,1,233.3528554237815,-87.42332727083632
2025-09-15,3,296.8802934196325,-23.895889274985336
2025-09-16,3,277.7641757569646,-43.01200693765321
2025-09-17,1,290.69038934919763,-30.0857933454202
2025-09-18,2,296.21060414761166,-24.56557854700617
2025-09-19,2,294.27921057946463,-26.4969721151532
2025-09-22,1,307.3710810065022,-13.405101688115622
2025-09-26,3,338.59921397902684,0.0
2025-10-01,1,330.42828337255696,-8.17093060646988
2025-10-02,1,355.7207515069718,0.0
2025-10-03,2,352.5442594398063,-3.1764920671654977
2025-10-06,2,366.86638318650114,0.0
2025-10-07,1,357.8202293403473,-9.046153846153857
2025-10-08,2,378.2887984682189,0.0
2025-10-13,1,378.6721318015522,0.0
2025-10-16,1,377.25193245051173,-1.4201993510404805
2025-10-17,1,367.9184429891534,-10.75368881239882
2025-10-23,2,367.1358362467391,-11.536295554813137
2025-10-24,1,381.6551078704113,0.0
2025-10-30,1,352.3823454750475,-29.272762395363827
2025-11-04,2,349.12077262214945,-32.53433524826187
2025-11-10,1,383.87115850969076,0.0
2025-11-11,2,359.2762340172884,-24.594924492402356
2025-11-14,1,356.45645587237453,-27.414702637316225
2025-11-18,1,344.5480546929528,-39.323103816737955
2025-11-21,1,343.66778258410926,-40.2033759255815
2025-11-25,1,353.98512198149416,-29.8860365281966
2025-12-12,1,378.884525560023,-4.986632949667751
2025-12-26,2,379.33836939481347,-4.532789114877289
2025-12-30,1,375.9388806313669,-7.932277878323873
2026-01-05,1,368.9481829569483,-14.922975552742457
2026-01-08,1,361.30137444631004,-22.569784063380723
2026-01-09,1,359.4605455080542,-24.410613001636534
2026-01-13,1,374.39276881853414,-9.478389691156622
2026-01-21,2,382.462456139121,-1.4087023705697561
2026-01-22,5,368.43747176777185,-15.433686741918905
2026-01-26,1,368.4734220037221,-15.39773650596868
2026-01-28,5,384.3302732069477,0.0
2026-01-29,2,364.2748842454661,-20.055388961481583
2026-01-30,1,366.3366148632224,-17.993658343725315
2026-02-04,1,367.4691672134933,-16.86110599345443
2026-02-06,1,387.2691672134933,0.0
2026-03-02,1,374.0322191810511,-13.236948032442172
2026-03-11,1,389.62169286526165,0.0
2026-03-16,1,379.97798266461285,-9.643710200648798
2026-04-06,1,374.88450027693096,-14.737192588330686
2026-04-23,2,378.6357102842365,-10.985982581025155
2026-04-24,2,406.6608454972159,0.0
2026-04-28,1,414.1242028393741,0.0
2026-04-29,1,420.3881392696919,0.0
2026-05-04,3,433.6556823909032,0.0
2026-05-05,1,455.07134946556664,0.0
2026-05-07,1,462.6056533782145,0.0
2026-05-11,1,474.61423347354895,0.0
2026-05-18,2,478.5625800008163,0.0
2026-05-20,1,477.1656519449254,-1.3969280558908963
2026-05-21,3,473.76460209782226,-4.797977902994035
2026-05-22,1,475.8528272226782,-2.7097527781381245
2026-05-27,1,484.4990756851628,0.0
2026-06-01,1,490.5603557073758,0.0
2026-06-08,1,501.0484291018712,0.0
2026-06-09,1,494.6922971939871,-6.356131907884105
2026-06-11,1,484.9032560980967,-16.145173003774516
2026-06-15,1,468.2973364363631,-32.75109266550811
2026-06-17,1,447.50785081924533,-53.54057828262586
2026-06-18,1,428.8681345071886,-72.18029459468261
2026-06-26,1,447.0761766957186,-53.97225240615262
2026-07-02,5,484.00820845585037,-17.040220646020828
