pattern_id,ticker,trade_count,event_count,net_pnl,winrate,profit_factor,avg_trade,max_drawdown,first_seen,last_seen,notes
PATTERN_000349,RXRX,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-08-19T00:00:00+00:00,2021-08-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000349,SEDG,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-08-24T00:00:00+00:00,2021-10-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000349,SKYW,0,6,0,0.833333,11.027900,1.671317,1.000000,2021-08-19T00:00:00+00:00,2022-02-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000350,RXRX,0,5,0,0.400000,1.064233,0.038540,3.000000,2021-08-19T00:00:00+00:00,2024-03-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000350,SEDG,0,1,0,1.000000,2.500000,2.500000,0.000000,2024-09-26T00:00:00+00:00,2024-09-26T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000350,SG,0,5,0,1.000000,12.500000,2.500000,0.000000,2022-04-27T00:00:00+00:00,2025-04-29T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000351,RXRX,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-08-16T00:00:00+00:00,2021-10-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000351,SEDG,0,3,0,0.333333,0.658750,-0.227500,2.000000,2021-11-17T00:00:00+00:00,2021-12-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000351,SG,0,6,0,0.666667,8.832362,1.477967,1.132200,2022-04-13T00:00:00+00:00,2022-09-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000363,CRDO,0,5,0,0.400000,1.666667,0.400000,3.000000,2022-06-30T00:00:00+00:00,2023-06-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000363,NXT,0,6,0,1.000000,10.771000,1.795167,0.000000,2023-06-13T00:00:00+00:00,2025-05-30T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000364,BROS,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-05-25T00:00:00+00:00,2022-06-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000364,CRDO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-05-12T00:00:00+00:00,2022-05-12T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000364,ENPH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-01-19T00:00:00+00:00,2022-01-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000364,HIMS,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-09-01T00:00:00+00:00,2021-09-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000364,IOVA,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-22T00:00:00+00:00,2021-12-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000364,PRVA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-10-27T00:00:00+00:00,2021-10-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000364,RXRX,0,4,0,1.000000,10.000000,2.500000,0.000000,2021-09-07T00:00:00+00:00,2022-02-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000365,BROS,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-12-20T00:00:00+00:00,2022-08-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000365,CRDO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-01-04T00:00:00+00:00,2023-01-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000365,ENPH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-08-19T00:00:00+00:00,2021-08-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000365,HIMS,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-10-27T00:00:00+00:00,2021-10-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000365,IOVA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-08-16T00:00:00+00:00,2021-08-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000365,NXT,0,3,0,1.000000,7.500000,2.500000,0.000000,2024-07-19T00:00:00+00:00,2024-08-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000365,PRVA,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-28T00:00:00+00:00,2021-12-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000366,BROS,0,3,0,0.000000,0.000000,-1.000000,3.000000,2022-05-12T00:00:00+00:00,2022-05-20T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000366,CROX,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-01-05T00:00:00+00:00,2022-01-05T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000366,GH,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-17T00:00:00+00:00,2021-12-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000366,INSP,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-12-28T00:00:00+00:00,2021-12-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000366,IOVA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-12-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000366,RXRX,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-01-05T00:00:00+00:00,2022-01-05T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000366,SEDG,0,3,0,1.000000,7.500000,2.500000,0.000000,2021-12-28T00:00:00+00:00,2022-01-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000387,AMBA,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-09-10T00:00:00+00:00,2021-09-20T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000387,CRDO,0,4,0,1.000000,10.000000,2.500000,0.000000,2022-08-22T00:00:00+00:00,2023-02-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000387,ENPH,0,3,0,0.333333,1.250000,0.166667,2.000000,2021-11-12T00:00:00+00:00,2021-11-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000388,ACMR,0,4,0,0.000000,0.000000,-1.000000,4.000000,2021-12-14T00:00:00+00:00,2021-12-31T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000388,ENPH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-01-19T00:00:00+00:00,2022-01-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000388,FUBO,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-23T00:00:00+00:00,2021-12-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000388,GH,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000388,IOVA,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-22T00:00:00+00:00,2021-12-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000388,MNDY,0,3,0,1.000000,7.500000,2.500000,0.000000,2021-12-28T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000389,AMBA,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-11-01T00:00:00+00:00,2021-11-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000389,BROS,0,2,0,0.500000,2.500000,0.750000,1.000000,2021-11-23T00:00:00+00:00,2022-07-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000389,CRDO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-12-20T00:00:00+00:00,2022-12-20T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000389,ENPH,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-12-14T00:00:00+00:00,2021-12-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000389,MNDY,0,4,0,1.000000,10.000000,2.500000,0.000000,2021-10-01T00:00:00+00:00,2021-10-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000390,AMBA,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-12-01T00:00:00+00:00,2021-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000390,ARWR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-12-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000390,CROX,0,2,0,0.500000,2.500000,0.750000,1.000000,2021-09-10T00:00:00+00:00,2021-12-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000390,INSP,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-10-14T00:00:00+00:00,2021-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000390,IOVA,0,3,0,1.000000,7.500000,2.500000,0.000000,2021-10-19T00:00:00+00:00,2021-11-12T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000410,ACMR,0,6,0,0.166667,0.753375,-0.136400,3.318400,2021-09-10T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000410,CRDO,0,2,0,1.000000,3.552400,1.776200,0.000000,2022-11-18T00:00:00+00:00,2023-02-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000410,CROX,0,2,0,1.000000,5.000000,2.500000,0.000000,2021-12-01T00:00:00+00:00,2021-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000411,ACMR,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-09-23T00:00:00+00:00,2021-10-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000411,ARWR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-10-27T00:00:00+00:00,2021-10-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000411,CARG,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-09-10T00:00:00+00:00,2021-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000411,CROX,0,4,0,1.000000,10.000000,2.500000,0.000000,2021-11-12T00:00:00+00:00,2021-12-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000412,AAON,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-02-14T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000412,ACMR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-02-01T00:00:00+00:00,2022-02-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000412,AEO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-01-27T00:00:00+00:00,2022-01-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000412,APPF,0,1,0,1.000000,0.062900,0.062900,0.000000,2021-10-14T00:00:00+00:00,2021-10-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000412,CARG,0,2,0,0.500000,0.460100,-0.269950,1.000000,2022-01-24T00:00:00+00:00,2022-02-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000412,CRDO,0,4,0,1.000000,10.000000,2.500000,0.000000,2023-05-05T00:00:00+00:00,2023-05-18T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000413,AAON,0,4,0,1.000000,10.000000,2.500000,0.000000,2022-11-04T00:00:00+00:00,2026-02-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000413,AEO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2026-04-23T00:00:00+00:00,2026-04-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000413,AMBA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-12-28T00:00:00+00:00,2021-12-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000413,CALM,0,2,0,0.000000,0.000000,-1.000000,2.000000,2023-12-26T00:00:00+00:00,2024-10-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000413,CARG,0,3,0,0.333333,1.250000,0.166667,1.000000,2023-01-20T00:00:00+00:00,2023-01-30T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000432,CALM,0,11,0,0.727273,4.516600,0.959073,3.000000,2022-04-28T00:00:00+00:00,2024-05-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000433,CALM,0,11,0,0.727273,5.828200,1.316782,3.000000,2021-07-02T00:00:00+00:00,2024-06-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000435,AEO,0,5,0,0.400000,1.666667,0.400000,3.000000,2021-08-06T00:00:00+00:00,2025-11-03T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000435,ALGM,0,5,0,0.800000,10.000000,1.800000,1.000000,2021-11-26T00:00:00+00:00,2023-12-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000447,ALGM,0,10,0,0.600000,3.750000,1.100000,3.000000,2021-08-16T00:00:00+00:00,2026-04-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000453,FN,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-07-02T00:00:00+00:00,2021-07-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000453,FOUR,0,4,0,0.250000,0.833333,-0.125000,2.000000,2024-10-25T00:00:00+00:00,2025-07-31T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000453,ZETA,0,4,0,1.000000,10.000000,2.500000,0.000000,2025-01-24T00:00:00+00:00,2025-12-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000466,ACMR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-09-15T00:00:00+00:00,2021-09-20T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000466,BROS,0,2,0,0.500000,2.500000,0.750000,1.000000,2022-02-02T00:00:00+00:00,2022-04-12T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000466,CRDO,0,2,0,1.000000,2.136600,1.068300,0.000000,2022-11-18T00:00:00+00:00,2022-11-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000466,DLO,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000466,FUBO,0,3,0,1.000000,7.050900,2.350300,0.000000,2021-11-03T00:00:00+00:00,2021-11-11T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000466,HIMS,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-10-01T00:00:00+00:00,2021-10-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000467,ACMR,0,1,0,0.000000,0.000000,-0.100600,0.100600,2021-10-14T00:00:00+00:00,2021-10-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000467,AMBA,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-10-11T00:00:00+00:00,2021-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000467,CRDO,0,1,0,1.000000,1.675000,1.675000,0.000000,2022-12-02T00:00:00+00:00,2022-12-02T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000467,CROX,0,3,0,1.000000,7.500000,2.500000,0.000000,2021-12-01T00:00:00+00:00,2021-12-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000467,ENPH,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000467,FUBO,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-11-16T00:00:00+00:00,2021-11-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,ACMR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-08-19T00:00:00+00:00,2021-08-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,AMBA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-02-04T00:00:00+00:00,2022-02-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,BROS,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-03-17T00:00:00+00:00,2022-03-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,CRDO,0,1,0,1.000000,1.125700,1.125700,0.000000,2022-04-18T00:00:00+00:00,2022-04-18T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,CROX,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-28T00:00:00+00:00,2021-12-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,FOUR,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-09T00:00:00+00:00,2022-02-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,FUBO,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-08T00:00:00+00:00,2021-12-08T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,HIMS,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-10-27T00:00:00+00:00,2021-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,IOVA,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-14T00:00:00+00:00,2022-02-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,ACMR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-01-24T00:00:00+00:00,2022-01-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,AMBA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,ARWR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,ENPH,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-01-27T00:00:00+00:00,2022-02-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,FUBO,0,2,0,1.000000,5.000000,2.500000,0.000000,2022-01-31T00:00:00+00:00,2022-02-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,HIMS,0,1,0,1.000000,1.698100,1.698100,0.000000,2021-09-10T00:00:00+00:00,2021-09-10T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,IOVA,0,2,0,1.000000,5.000000,2.500000,0.000000,2021-12-22T00:00:00+00:00,2021-12-31T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,ACMR,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-09-23T00:00:00+00:00,2021-10-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,AX,0,2,0,0.500000,5.702555,1.030800,0.438400,2021-11-26T00:00:00+00:00,2021-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,CARG,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-11-01T00:00:00+00:00,2021-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,CROX,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-08-19T00:00:00+00:00,2021-08-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,GH,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-09-28T00:00:00+00:00,2021-09-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,INSP,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-11-04T00:00:00+00:00,2021-11-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,IOVA,0,2,0,1.000000,5.000000,2.500000,0.000000,2021-10-19T00:00:00+00:00,2021-10-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,ARWR,0,3,0,0.333333,1.250000,0.166667,2.000000,2022-02-09T00:00:00+00:00,2022-02-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,BROS,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-05-25T00:00:00+00:00,2022-05-25T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,GH,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,HIMS,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-01-05T00:00:00+00:00,2022-01-05T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,MNDY,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,PRVA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-10-27T00:00:00+00:00,2021-10-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,RXRX,0,3,0,1.000000,7.500000,2.500000,0.000000,2022-02-09T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000491,BROS,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-12-02T00:00:00+00:00,2022-07-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000491,CRDO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-12-23T00:00:00+00:00,2022-12-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000491,CROX,0,2,0,1.000000,3.886100,1.943050,0.000000,2021-12-14T00:00:00+00:00,2021-12-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000491,NXT,0,5,0,1.000000,12.500000,2.500000,0.000000,2024-03-22T00:00:00+00:00,2025-03-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000492,ARWR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-12-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000492,BROS,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-02-24T00:00:00+00:00,2022-03-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000492,CRDO,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-02-13T00:00:00+00:00,2023-02-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000492,IOVA,0,1,0,1.000000,0.573300,0.573300,0.000000,2021-10-06T00:00:00+00:00,2021-10-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000492,NXT,0,5,0,1.000000,9.105700,1.821140,0.000000,2024-03-11T00:00:00+00:00,2025-02-20T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
